bcov | 32 kDa non-structural protein [Bovine coronavirus], bcov | hemmaglutinin-esterase [Bovine coronavirus], 653
human229e | membrane protein [Human coronavirus 229E], sars1 | ORF7b protein [SARS coronavirus Tor2], 543
human229e | membrane protein [Human coronavirus 229E], sars1 | ORF8a protein [SARS coronavirus Tor2], 558
human229e | membrane protein [Human coronavirus 229E], sars1 | ORF8b protein [SARS coronavirus Tor2], 432
human229e | membrane protein [Human coronavirus 229E], sars1 | nucleocapsid protein [SARS coronavirus Tor2], 724
human229e | membrane protein [Human coronavirus 229E], sars1 | ORF9b protein [SARS coronavirus Tor2], 421
human229e | membrane protein [Human coronavirus 229E], sars1 | ORF9a protein [SARS coronavirus Tor2], 475
human229e | membrane protein [Human coronavirus 229E], sars1 | ORF1ab polyprotein [SARS coronavirus Tor2], 20541
human229e | membrane protein [Human coronavirus 229E], sars1 | ORF1a polyprotein [SARS coronavirus Tor2], 12468
human229e | nucleocapsid protein [Human coronavirus 229E], human229e | replicase polyprotein 1ab [Human coronavirus 229E], 19104
human229e | nucleocapsid protein [Human coronavirus 229E], human229e | replicase polyprotein 1a [Human coronavirus 229E], 11085
human229e | nucleocapsid protein [Human coronavirus 229E], humanoc43 | ns2 [Human coronavirus OC43], 585
human229e | nucleocapsid protein [Human coronavirus 229E], humanoc43 | hemagglutinin-esterase [Human coronavirus OC43], 652
human229e | nucleocapsid protein [Human coronavirus 229E], humanoc43 | spike surface glycoprotein [Human coronavirus OC43], 2910
human229e | nucleocapsid protein [Human coronavirus 229E], humanoc43 | ns12.9 [Human coronavirus OC43], 844
human229e | nucleocapsid protein [Human coronavirus 229E], humanoc43 | envelope protein [Human coronavirus OC43], 915
human229e | nucleocapsid protein [Human coronavirus 229E], humanoc43 | membrane protein [Human coronavirus OC43], 633
human229e | nucleocapsid protein [Human coronavirus 229E], humanoc43 | nucleocapsid protein [Human coronavirus OC43], 669
human229e | nucleocapsid protein [Human coronavirus 229E], humanoc43 | internal protein [Human coronavirus OC43], 987
human229e | nucleocapsid protein [Human coronavirus 229E], humanoc43 | ORF1a polyprotein [Human coronavirus OC43], 11979
human229e | nucleocapsid protein [Human coronavirus 229E], humanoc43 | ORF1ab polyprotein [Human coronavirus OC43], 20115
human229e | nucleocapsid protein [Human coronavirus 229E], mers | spike protein [Middle East respiratory syndrome-related coronavirus], 2907
human229e | nucleocapsid protein [Human coronavirus 229E], mers | NS3 protein [Middle East respiratory syndrome-related coronavirus], 862
human229e | nucleocapsid protein [Human coronavirus 229E], mers | NS4A protein [Middle East respiratory syndrome-related coronavirus], 847
human229e | nucleocapsid protein [Human coronavirus 229E], mers | NS4B protein [Middle East respiratory syndrome-related coronavirus], 626
human229e | nucleocapsid protein [Human coronavirus 229E], mers | NS5 protein [Middle East respiratory syndrome-related coronavirus], 647
human229e | nucleocapsid protein [Human coronavirus 229E], mers | envelope protein [Middle East respiratory syndrome-related coronavirus], 921
human229e | nucleocapsid protein [Human coronavirus 229E], mers | membrane protein [Middle East respiratory syndrome-related coronavirus], 645
human229e | nucleocapsid protein [Human coronavirus 229E], mers | nucleoprotein [Middle East respiratory syndrome-related coronavirus], 627
human229e | nucleocapsid protein [Human coronavirus 229E], mers | ORF8b protein [Middle East respiratory syndrome-related coronavirus], 835
human229e | nucleocapsid protein [Human coronavirus 229E], mers | 1AB polyprotein [Middle East respiratory syndrome-related coronavirus], 20064
human229e | nucleocapsid protein [Human coronavirus 229E], mers | 1A polyprotein [Middle East respiratory syndrome-related coronavirus], 12003
human229e | nucleocapsid protein [Human coronavirus 229E], sars1 | spike glycoprotein [SARS coronavirus Tor2], 2629
human229e | nucleocapsid protein [Human coronavirus 229E], sars1 | ORF3a protein [SARS coronavirus Tor2], 608
human229e | nucleocapsid protein [Human coronavirus 229E], sars1 | ORF3b protein [SARS coronavirus Tor2], 745
human229e | nucleocapsid protein [Human coronavirus 229E], sars1 | small envelope protein [SARS coronavirus Tor2], 939
human229e | nucleocapsid protein [Human coronavirus 229E], sars1 | membrane glycoprotein M [SARS coronavirus Tor2], 640
human229e | nucleocapsid protein [Human coronavirus 229E], sars1 | ORF6 protein [SARS coronavirus Tor2], 978
human229e | nucleocapsid protein [Human coronavirus 229E], sars1 | ORF7a protein [SARS coronavirus Tor2], 813
human229e | nucleocapsid protein [Human coronavirus 229E], sars1 | ORF7b protein [SARS coronavirus Tor2], 1035
human229e | nucleocapsid protein [Human coronavirus 229E], sars1 | ORF8a protein [SARS coronavirus Tor2], 1050
human229e | nucleocapsid protein [Human coronavirus 229E], sars1 | ORF8b protein [SARS coronavirus Tor2], 915
human229e | nucleocapsid protein [Human coronavirus 229E], sars1 | nucleocapsid protein [SARS coronavirus Tor2], 643
human229e | nucleocapsid protein [Human coronavirus 229E], sars1 | ORF9b protein [SARS coronavirus Tor2], 874
human229e | nucleocapsid protein [Human coronavirus 229E], sars1 | ORF9a protein [SARS coronavirus Tor2], 957
human229e | nucleocapsid protein [Human coronavirus 229E], sars1 | ORF1ab polyprotein [SARS coronavirus Tor2], 20049
human229e | nucleocapsid protein [Human coronavirus 229E], sars1 | ORF1a polyprotein [SARS coronavirus Tor2], 11976
human229e | replicase polyprotein 1ab [Human coronavirus 229E], human229e | replicase polyprotein 1a [Human coronavirus 229E], 8019
human229e | replicase polyprotein 1ab [Human coronavirus 229E], humanoc43 | ns2 [Human coronavirus OC43], 19437
human229e | replicase polyprotein 1ab [Human coronavirus 229E], humanoc43 | hemagglutinin-esterase [Human coronavirus OC43], 18999
human229e | replicase polyprotein 1ab [Human coronavirus 229E], humanoc43 | spike surface glycoprotein [Human coronavirus OC43], 16212
human229e | replicase polyprotein 1ab [Human coronavirus 229E], humanoc43 | ns12.9 [Human coronavirus OC43], 19944
human229e | replicase polyprotein 1ab [Human coronavirus 229E], humanoc43 | envelope protein [Human coronavirus OC43], 20019
human229e | replicase polyprotein 1ab [Human coronavirus 229E], humanoc43 | membrane protein [Human coronavirus OC43], 19581
human229e | replicase polyprotein 1ab [Human coronavirus 229E], humanoc43 | nucleocapsid protein [Human coronavirus OC43], 18927
human229e | replicase polyprotein 1ab [Human coronavirus 229E], humanoc43 | internal protein [Human coronavirus OC43], 20091
human229e | replicase polyprotein 1ab [Human coronavirus 229E], humanoc43 | ORF1a polyprotein [Human coronavirus OC43], 10178
human229e | replicase polyprotein 1ab [Human coronavirus 229E], humanoc43 | ORF1ab polyprotein [Human coronavirus OC43], 9059
human229e | replicase polyprotein 1ab [Human coronavirus 229E], mers | spike protein [Middle East respiratory syndrome-related coronavirus], 16212
human229e | replicase polyprotein 1ab [Human coronavirus 229E], mers | NS3 protein [Middle East respiratory syndrome-related coronavirus], 19962
human229e | replicase polyprotein 1ab [Human coronavirus 229E], mers | NS4A protein [Middle East respiratory syndrome-related coronavirus], 19944
human229e | replicase polyprotein 1ab [Human coronavirus 229E], mers | NS4B protein [Middle East respiratory syndrome-related coronavirus], 19533
human229e | replicase polyprotein 1ab [Human coronavirus 229E], mers | NS5 protein [Middle East respiratory syndrome-related coronavirus], 19599
human229e | replicase polyprotein 1ab [Human coronavirus 229E], mers | envelope protein [Middle East respiratory syndrome-related coronavirus], 20025
human229e | replicase polyprotein 1ab [Human coronavirus 229E], mers | membrane protein [Middle East respiratory syndrome-related coronavirus], 19614
human229e | replicase polyprotein 1ab [Human coronavirus 229E], mers | nucleoprotein [Middle East respiratory syndrome-related coronavirus], 19032
human229e | replicase polyprotein 1ab [Human coronavirus 229E], mers | ORF8b protein [Middle East respiratory syndrome-related coronavirus], 19935
human229e | replicase polyprotein 1ab [Human coronavirus 229E], mers | 1AB polyprotein [Middle East respiratory syndrome-related coronavirus], 9150
human229e | replicase polyprotein 1ab [Human coronavirus 229E], mers | 1A polyprotein [Middle East respiratory syndrome-related coronavirus], 10333
human229e | replicase polyprotein 1ab [Human coronavirus 229E], sars1 | spike glycoprotein [SARS coronavirus Tor2], 16506
human229e | replicase polyprotein 1ab [Human coronavirus 229E], sars1 | ORF3a protein [SARS coronavirus Tor2], 19449
human229e | replicase polyprotein 1ab [Human coronavirus 229E], sars1 | ORF3b protein [SARS coronavirus Tor2], 19809
human229e | replicase polyprotein 1ab [Human coronavirus 229E], sars1 | small envelope protein [SARS coronavirus Tor2], 20043
human229e | replicase polyprotein 1ab [Human coronavirus 229E], sars1 | membrane glycoprotein M [SARS coronavirus Tor2], 19608
human229e | replicase polyprotein 1ab [Human coronavirus 229E], sars1 | ORF6 protein [SARS coronavirus Tor2], 20082
human229e | replicase polyprotein 1ab [Human coronavirus 229E], sars1 | ORF7a protein [SARS coronavirus Tor2], 19905
human229e | replicase polyprotein 1ab [Human coronavirus 229E], sars1 | ORF7b protein [SARS coronavirus Tor2], 20139
human229e | replicase polyprotein 1ab [Human coronavirus 229E], sars1 | ORF8a protein [SARS coronavirus Tor2], 20154
human229e | replicase polyprotein 1ab [Human coronavirus 229E], sars1 | ORF8b protein [SARS coronavirus Tor2], 20019
human229e | replicase polyprotein 1ab [Human coronavirus 229E], sars1 | nucleocapsid protein [SARS coronavirus Tor2], 19005
human229e | replicase polyprotein 1ab [Human coronavirus 229E], sars1 | ORF9b protein [SARS coronavirus Tor2], 19977
human229e | replicase polyprotein 1ab [Human coronavirus 229E], sars1 | ORF9a protein [SARS coronavirus Tor2], 20061
human229e | replicase polyprotein 1ab [Human coronavirus 229E], sars1 | ORF1ab polyprotein [SARS coronavirus Tor2], 9159
human229e | replicase polyprotein 1ab [Human coronavirus 229E], sars1 | ORF1a polyprotein [SARS coronavirus Tor2], 10345
human229e | replicase polyprotein 1a [Human coronavirus 229E], humanoc43 | ns2 [Human coronavirus OC43], 11418
human229e | replicase polyprotein 1a [Human coronavirus 229E], humanoc43 | hemagglutinin-esterase [Human coronavirus OC43], 10980
human229e | replicase polyprotein 1a [Human coronavirus 229E], humanoc43 | spike surface glycoprotein [Human coronavirus OC43], 8310
human229e | replicase polyprotein 1a [Human coronavirus 229E], humanoc43 | ns12.9 [Human coronavirus OC43], 11925
human229e | replicase polyprotein 1a [Human coronavirus 229E], humanoc43 | envelope protein [Human coronavirus OC43], 12000
human229e | replicase polyprotein 1a [Human coronavirus 229E], humanoc43 | membrane protein [Human coronavirus OC43], 11562
human229e | replicase polyprotein 1a [Human coronavirus 229E], humanoc43 | nucleocapsid protein [Human coronavirus OC43], 10908
human229e | replicase polyprotein 1a [Human coronavirus 229E], humanoc43 | internal protein [Human coronavirus OC43], 12072
human229e | replicase polyprotein 1a [Human coronavirus 229E], humanoc43 | ORF1a polyprotein [Human coronavirus OC43], 5959
human229e | replicase polyprotein 1a [Human coronavirus 229E], humanoc43 | ORF1ab polyprotein [Human coronavirus OC43], 11259
human229e | replicase polyprotein 1a [Human coronavirus 229E], mers | spike protein [Middle East respiratory syndrome-related coronavirus], 8334
human229e | replicase polyprotein 1a [Human coronavirus 229E], mers | NS3 protein [Middle East respiratory syndrome-related coronavirus], 11943
human229e | replicase polyprotein 1a [Human coronavirus 229E], mers | NS4A protein [Middle East respiratory syndrome-related coronavirus], 11925
human229e | replicase polyprotein 1a [Human coronavirus 229E], mers | NS4B protein [Middle East respiratory syndrome-related coronavirus], 11514
human229e | replicase polyprotein 1a [Human coronavirus 229E], mers | NS5 protein [Middle East respiratory syndrome-related coronavirus], 11580
human229e | replicase polyprotein 1a [Human coronavirus 229E], mers | envelope protein [Middle East respiratory syndrome-related coronavirus], 12006
human229e | replicase polyprotein 1a [Human coronavirus 229E], mers | membrane protein [Middle East respiratory syndrome-related coronavirus], 11595
human229e | replicase polyprotein 1a [Human coronavirus 229E], mers | nucleoprotein [Middle East respiratory syndrome-related coronavirus], 11013
human229e | replicase polyprotein 1a [Human coronavirus 229E], mers | ORF8b protein [Middle East respiratory syndrome-related coronavirus], 11916
human229e | replicase polyprotein 1a [Human coronavirus 229E], mers | 1AB polyprotein [Middle East respiratory syndrome-related coronavirus], 11226
human229e | replicase polyprotein 1a [Human coronavirus 229E], mers | 1A polyprotein [Middle East respiratory syndrome-related coronavirus], 6094
human229e | replicase polyprotein 1a [Human coronavirus 229E], sars1 | spike glycoprotein [SARS coronavirus Tor2], 8565
human229e | replicase polyprotein 1a [Human coronavirus 229E], sars1 | ORF3a protein [SARS coronavirus Tor2], 11430
human229e | replicase polyprotein 1a [Human coronavirus 229E], sars1 | ORF3b protein [SARS coronavirus Tor2], 11790
human229e | replicase polyprotein 1a [Human coronavirus 229E], sars1 | small envelope protein [SARS coronavirus Tor2], 12024
human229e | replicase polyprotein 1a [Human coronavirus 229E], sars1 | membrane glycoprotein M [SARS coronavirus Tor2], 11589
human229e | replicase polyprotein 1a [Human coronavirus 229E], sars1 | ORF6 protein [SARS coronavirus Tor2], 12063
human229e | replicase polyprotein 1a [Human coronavirus 229E], sars1 | ORF7a protein [SARS coronavirus Tor2], 11886
human229e | replicase polyprotein 1a [Human coronavirus 229E], sars1 | ORF7b protein [SARS coronavirus Tor2], 12120
human229e | replicase polyprotein 1a [Human coronavirus 229E], sars1 | ORF8a protein [SARS coronavirus Tor2], 12135
human229e | replicase polyprotein 1a [Human coronavirus 229E], sars1 | ORF8b protein [SARS coronavirus Tor2], 12000
human229e | replicase polyprotein 1a [Human coronavirus 229E], sars1 | nucleocapsid protein [SARS coronavirus Tor2], 10986
human229e | replicase polyprotein 1a [Human coronavirus 229E], sars1 | ORF9b protein [SARS coronavirus Tor2], 11958
human229e | replicase polyprotein 1a [Human coronavirus 229E], sars1 | ORF9a protein [SARS coronavirus Tor2], 12042
human229e | replicase polyprotein 1a [Human coronavirus 229E], sars1 | ORF1ab polyprotein [SARS coronavirus Tor2], 11209
human229e | replicase polyprotein 1a [Human coronavirus 229E], sars1 | ORF1a polyprotein [SARS coronavirus Tor2], 6113
humanoc43 | ns2 [Human coronavirus OC43], humanoc43 | hemagglutinin-esterase [Human coronavirus OC43], 653
humanoc43 | ns2 [Human coronavirus OC43], humanoc43 | spike surface glycoprotein [Human coronavirus OC43], 3225
humanoc43 | ns2 [Human coronavirus OC43], humanoc43 | ns12.9 [Human coronavirus OC43], 529
humanoc43 | ns2 [Human coronavirus OC43], humanoc43 | envelope protein [Human coronavirus OC43], 586
humanoc43 | ns2 [Human coronavirus OC43], humanoc43 | membrane protein [Human coronavirus OC43], 408
humanoc43 | ns2 [Human coronavirus OC43], humanoc43 | nucleocapsid protein [Human coronavirus OC43], 711
humanoc43 | ns2 [Human coronavirus OC43], humanoc43 | internal protein [Human coronavirus OC43], 654
humanoc43 | ns2 [Human coronavirus OC43], humanoc43 | ORF1a polyprotein [Human coronavirus OC43], 12312
humanoc43 | ns2 [Human coronavirus OC43], humanoc43 | ORF1ab polyprotein [Human coronavirus OC43], 20448
humanoc43 | ns2 [Human coronavirus OC43], mers | spike protein [Middle East respiratory syndrome-related coronavirus], 3225
humanoc43 | ns2 [Human coronavirus OC43], mers | NS3 protein [Middle East respiratory syndrome-related coronavirus], 547
humanoc43 | ns2 [Human coronavirus OC43], mers | NS4A protein [Middle East respiratory syndrome-related coronavirus], 542
humanoc43 | ns2 [Human coronavirus OC43], mers | NS4B protein [Middle East respiratory syndrome-related coronavirus], 417
humanoc43 | ns2 [Human coronavirus OC43], mers | NS5 protein [Middle East respiratory syndrome-related coronavirus], 422
humanoc43 | ns2 [Human coronavirus OC43], mers | envelope protein [Middle East respiratory syndrome-related coronavirus], 596
humanoc43 | ns2 [Human coronavirus OC43], mers | membrane protein [Middle East respiratory syndrome-related coronavirus], 418
humanoc43 | ns2 [Human coronavirus OC43], mers | nucleoprotein [Middle East respiratory syndrome-related coronavirus], 653
humanoc43 | ns2 [Human coronavirus OC43], mers | ORF8b protein [Middle East respiratory syndrome-related coronavirus], 541
humanoc43 | ns2 [Human coronavirus OC43], mers | 1AB polyprotein [Middle East respiratory syndrome-related coronavirus], 20397
humanoc43 | ns2 [Human coronavirus OC43], mers | 1A polyprotein [Middle East respiratory syndrome-related coronavirus], 12336
humanoc43 | ns2 [Human coronavirus OC43], sars1 | spike glycoprotein [SARS coronavirus Tor2], 2931
humanoc43 | ns2 [Human coronavirus OC43], sars1 | ORF3a protein [SARS coronavirus Tor2], 435
humanoc43 | ns2 [Human coronavirus OC43], sars1 | ORF3b protein [SARS coronavirus Tor2], 464
humanoc43 | ns2 [Human coronavirus OC43], sars1 | small envelope protein [SARS coronavirus Tor2], 610
humanoc43 | ns2 [Human coronavirus OC43], sars1 | membrane glycoprotein M [SARS coronavirus Tor2], 422
humanoc43 | ns2 [Human coronavirus OC43], sars1 | ORF6 protein [SARS coronavirus Tor2], 645
humanoc43 | ns2 [Human coronavirus OC43], sars1 | ORF7a protein [SARS coronavirus Tor2], 515
humanoc43 | ns2 [Human coronavirus OC43], sars1 | ORF7b protein [SARS coronavirus Tor2], 702
humanoc43 | ns2 [Human coronavirus OC43], sars1 | ORF8a protein [SARS coronavirus Tor2], 717
humanoc43 | ns2 [Human coronavirus OC43], sars1 | ORF8b protein [SARS coronavirus Tor2], 586
humanoc43 | ns2 [Human coronavirus OC43], sars1 | nucleocapsid protein [SARS coronavirus Tor2], 675
humanoc43 | ns2 [Human coronavirus OC43], sars1 | ORF9b protein [SARS coronavirus Tor2], 561
humanoc43 | ns2 [Human coronavirus OC43], sars1 | ORF9a protein [SARS coronavirus Tor2], 627
humanoc43 | ns2 [Human coronavirus OC43], sars1 | ORF1ab polyprotein [SARS coronavirus Tor2], 20382
humanoc43 | ns2 [Human coronavirus OC43], sars1 | ORF1a polyprotein [SARS coronavirus Tor2], 12309
humanoc43 | hemagglutinin-esterase [Human coronavirus OC43], humanoc43 | spike surface glycoprotein [Human coronavirus OC43], 2809
humanoc43 | hemagglutinin-esterase [Human coronavirus OC43], humanoc43 | ns12.9 [Human coronavirus OC43], 947
humanoc43 | hemagglutinin-esterase [Human coronavirus OC43], humanoc43 | envelope protein [Human coronavirus OC43], 1020
humanoc43 | hemagglutinin-esterase [Human coronavirus OC43], humanoc43 | membrane protein [Human coronavirus OC43], 702
humanoc43 | hemagglutinin-esterase [Human coronavirus OC43], humanoc43 | nucleocapsid protein [Human coronavirus OC43], 703
humanoc43 | hemagglutinin-esterase [Human coronavirus OC43], humanoc43 | internal protein [Human coronavirus OC43], 1092
humanoc43 | hemagglutinin-esterase [Human coronavirus OC43], humanoc43 | ORF1a polyprotein [Human coronavirus OC43], 11874
humanoc43 | hemagglutinin-esterase [Human coronavirus OC43], humanoc43 | ORF1ab polyprotein [Human coronavirus OC43], 20010
humanoc43 | hemagglutinin-esterase [Human coronavirus OC43], mers | spike protein [Middle East respiratory syndrome-related coronavirus], 2811
humanoc43 | hemagglutinin-esterase [Human coronavirus OC43], mers | NS3 protein [Middle East respiratory syndrome-related coronavirus], 966
humanoc43 | hemagglutinin-esterase [Human coronavirus OC43], mers | NS4A protein [Middle East respiratory syndrome-related coronavirus], 949
humanoc43 | hemagglutinin-esterase [Human coronavirus OC43], mers | NS4B protein [Middle East respiratory syndrome-related coronavirus], 691
humanoc43 | hemagglutinin-esterase [Human coronavirus OC43], mers | NS5 protein [Middle East respiratory syndrome-related coronavirus], 718
humanoc43 | hemagglutinin-esterase [Human coronavirus OC43], mers | envelope protein [Middle East respiratory syndrome-related coronavirus], 1026
humanoc43 | hemagglutinin-esterase [Human coronavirus OC43], mers | membrane protein [Middle East respiratory syndrome-related coronavirus], 730
humanoc43 | hemagglutinin-esterase [Human coronavirus OC43], mers | nucleoprotein [Middle East respiratory syndrome-related coronavirus], 687
humanoc43 | hemagglutinin-esterase [Human coronavirus OC43], mers | ORF8b protein [Middle East respiratory syndrome-related coronavirus], 944
humanoc43 | hemagglutinin-esterase [Human coronavirus OC43], mers | 1AB polyprotein [Middle East respiratory syndrome-related coronavirus], 19959
humanoc43 | hemagglutinin-esterase [Human coronavirus OC43], mers | 1A polyprotein [Middle East respiratory syndrome-related coronavirus], 11898
humanoc43 | hemagglutinin-esterase [Human coronavirus OC43], sars1 | spike glycoprotein [SARS coronavirus Tor2], 2537
humanoc43 | hemagglutinin-esterase [Human coronavirus OC43], sars1 | ORF3a protein [SARS coronavirus Tor2], 662
humanoc43 | hemagglutinin-esterase [Human coronavirus OC43], sars1 | ORF3b protein [SARS coronavirus Tor2], 841
humanoc43 | hemagglutinin-esterase [Human coronavirus OC43], sars1 | small envelope protein [SARS coronavirus Tor2], 1044
humanoc43 | hemagglutinin-esterase [Human coronavirus OC43], sars1 | membrane glycoprotein M [SARS coronavirus Tor2], 738
humanoc43 | hemagglutinin-esterase [Human coronavirus OC43], sars1 | ORF6 protein [SARS coronavirus Tor2], 1083
humanoc43 | hemagglutinin-esterase [Human coronavirus OC43], sars1 | ORF7a protein [SARS coronavirus Tor2], 916
humanoc43 | hemagglutinin-esterase [Human coronavirus OC43], sars1 | ORF7b protein [SARS coronavirus Tor2], 1140
humanoc43 | hemagglutinin-esterase [Human coronavirus OC43], sars1 | ORF8a protein [SARS coronavirus Tor2], 1155
humanoc43 | hemagglutinin-esterase [Human coronavirus OC43], sars1 | ORF8b protein [SARS coronavirus Tor2], 1020
humanoc43 | hemagglutinin-esterase [Human coronavirus OC43], sars1 | nucleocapsid protein [SARS coronavirus Tor2], 706
humanoc43 | hemagglutinin-esterase [Human coronavirus OC43], sars1 | ORF9b protein [SARS coronavirus Tor2], 982
humanoc43 | hemagglutinin-esterase [Human coronavirus OC43], sars1 | ORF9a protein [SARS coronavirus Tor2], 1062
humanoc43 | hemagglutinin-esterase [Human coronavirus OC43], sars1 | ORF1ab polyprotein [SARS coronavirus Tor2], 19944
humanoc43 | hemagglutinin-esterase [Human coronavirus OC43], sars1 | ORF1a polyprotein [SARS coronavirus Tor2], 11871
humanoc43 | spike surface glycoprotein [Human coronavirus OC43], humanoc43 | ns12.9 [Human coronavirus OC43], 3732
humanoc43 | spike surface glycoprotein [Human coronavirus OC43], humanoc43 | envelope protein [Human coronavirus OC43], 3807
humanoc43 | spike surface glycoprotein [Human coronavirus OC43], humanoc43 | membrane protein [Human coronavirus OC43], 3369
humanoc43 | spike surface glycoprotein [Human coronavirus OC43], humanoc43 | nucleocapsid protein [Human coronavirus OC43], 2775
humanoc43 | spike surface glycoprotein [Human coronavirus OC43], humanoc43 | internal protein [Human coronavirus OC43], 3879
humanoc43 | spike surface glycoprotein [Human coronavirus OC43], humanoc43 | ORF1a polyprotein [Human coronavirus OC43], 9157
humanoc43 | spike surface glycoprotein [Human coronavirus OC43], humanoc43 | ORF1ab polyprotein [Human coronavirus OC43], 17223
humanoc43 | spike surface glycoprotein [Human coronavirus OC43], mers | spike protein [Middle East respiratory syndrome-related coronavirus], 1887
humanoc43 | spike surface glycoprotein [Human coronavirus OC43], mers | NS3 protein [Middle East respiratory syndrome-related coronavirus], 3750
humanoc43 | spike surface glycoprotein [Human coronavirus OC43], mers | NS4A protein [Middle East respiratory syndrome-related coronavirus], 3732
humanoc43 | spike surface glycoprotein [Human coronavirus OC43], mers | NS4B protein [Middle East respiratory syndrome-related coronavirus], 3321
humanoc43 | spike surface glycoprotein [Human coronavirus OC43], mers | NS5 protein [Middle East respiratory syndrome-related coronavirus], 3387
humanoc43 | spike surface glycoprotein [Human coronavirus OC43], mers | envelope protein [Middle East respiratory syndrome-related coronavirus], 3813
humanoc43 | spike surface glycoprotein [Human coronavirus OC43], mers | membrane protein [Middle East respiratory syndrome-related coronavirus], 3402
humanoc43 | spike surface glycoprotein [Human coronavirus OC43], mers | nucleoprotein [Middle East respiratory syndrome-related coronavirus], 2860
humanoc43 | spike surface glycoprotein [Human coronavirus OC43], mers | ORF8b protein [Middle East respiratory syndrome-related coronavirus], 3723
humanoc43 | spike surface glycoprotein [Human coronavirus OC43], mers | 1AB polyprotein [Middle East respiratory syndrome-related coronavirus], 17172
humanoc43 | spike surface glycoprotein [Human coronavirus OC43], mers | 1A polyprotein [Middle East respiratory syndrome-related coronavirus], 9158
humanoc43 | spike surface glycoprotein [Human coronavirus OC43], sars1 | spike glycoprotein [SARS coronavirus Tor2], 1867
humanoc43 | spike surface glycoprotein [Human coronavirus OC43], sars1 | ORF3a protein [SARS coronavirus Tor2], 3237
humanoc43 | spike surface glycoprotein [Human coronavirus OC43], sars1 | ORF3b protein [SARS coronavirus Tor2], 3597
humanoc43 | spike surface glycoprotein [Human coronavirus OC43], sars1 | small envelope protein [SARS coronavirus Tor2], 3831
humanoc43 | spike surface glycoprotein [Human coronavirus OC43], sars1 | membrane glycoprotein M [SARS coronavirus Tor2], 3396
humanoc43 | spike surface glycoprotein [Human coronavirus OC43], sars1 | ORF6 protein [SARS coronavirus Tor2], 3870
humanoc43 | spike surface glycoprotein [Human coronavirus OC43], sars1 | ORF7a protein [SARS coronavirus Tor2], 3693
humanoc43 | spike surface glycoprotein [Human coronavirus OC43], sars1 | ORF7b protein [SARS coronavirus Tor2], 3927
humanoc43 | spike surface glycoprotein [Human coronavirus OC43], sars1 | ORF8a protein [SARS coronavirus Tor2], 3942
humanoc43 | spike surface glycoprotein [Human coronavirus OC43], sars1 | ORF8b protein [SARS coronavirus Tor2], 3807
humanoc43 | spike surface glycoprotein [Human coronavirus OC43], sars1 | nucleocapsid protein [SARS coronavirus Tor2], 2846
humanoc43 | spike surface glycoprotein [Human coronavirus OC43], sars1 | ORF9b protein [SARS coronavirus Tor2], 3765
humanoc43 | spike surface glycoprotein [Human coronavirus OC43], sars1 | ORF9a protein [SARS coronavirus Tor2], 3849
humanoc43 | spike surface glycoprotein [Human coronavirus OC43], sars1 | ORF1ab polyprotein [SARS coronavirus Tor2], 17157
humanoc43 | spike surface glycoprotein [Human coronavirus OC43], sars1 | ORF1a polyprotein [SARS coronavirus Tor2], 9137
humanoc43 | ns12.9 [Human coronavirus OC43], humanoc43 | envelope protein [Human coronavirus OC43], 166
humanoc43 | ns12.9 [Human coronavirus OC43], humanoc43 | membrane protein [Human coronavirus OC43], 402
humanoc43 | ns12.9 [Human coronavirus OC43], humanoc43 | nucleocapsid protein [Human coronavirus OC43], 1017
humanoc43 | ns12.9 [Human coronavirus OC43], humanoc43 | internal protein [Human coronavirus OC43], 182
humanoc43 | ns12.9 [Human coronavirus OC43], humanoc43 | ORF1a polyprotein [Human coronavirus OC43], 12819
humanoc43 | ns12.9 [Human coronavirus OC43], humanoc43 | ORF1ab polyprotein [Human coronavirus OC43], 20955
humanoc43 | ns12.9 [Human coronavirus OC43], mers | spike protein [Middle East respiratory syndrome-related coronavirus], 3732
humanoc43 | ns12.9 [Human coronavirus OC43], mers | NS3 protein [Middle East respiratory syndrome-related coronavirus], 164
humanoc43 | ns12.9 [Human coronavirus OC43], mers | NS4A protein [Middle East respiratory syndrome-related coronavirus], 169
humanoc43 | ns12.9 [Human coronavirus OC43], mers | NS4B protein [Middle East respiratory syndrome-related coronavirus], 447
humanoc43 | ns12.9 [Human coronavirus OC43], mers | NS5 protein [Middle East respiratory syndrome-related coronavirus], 390
humanoc43 | ns12.9 [Human coronavirus OC43], mers | envelope protein [Middle East respiratory syndrome-related coronavirus], 166
humanoc43 | ns12.9 [Human coronavirus OC43], mers | membrane protein [Middle East respiratory syndrome-related coronavirus], 376
humanoc43 | ns12.9 [Human coronavirus OC43], mers | nucleoprotein [Middle East respiratory syndrome-related coronavirus], 915
humanoc43 | ns12.9 [Human coronavirus OC43], mers | ORF8b protein [Middle East respiratory syndrome-related coronavirus], 183
humanoc43 | ns12.9 [Human coronavirus OC43], mers | 1AB polyprotein [Middle East respiratory syndrome-related coronavirus], 20904
humanoc43 | ns12.9 [Human coronavirus OC43], mers | 1A polyprotein [Middle East respiratory syndrome-related coronavirus], 12843
humanoc43 | ns12.9 [Human coronavirus OC43], sars1 | spike glycoprotein [SARS coronavirus Tor2], 3438
humanoc43 | ns12.9 [Human coronavirus OC43], sars1 | ORF3a protein [SARS coronavirus Tor2], 520
